brand,description,overall_rating,rating_count,original_price(Rs),discount_price(Rs),offer_percentage(%),image_url
Roadster,The Lifestyle Co Men Green Pure Cotton Self Design Polo Collar Pure Cotton T-shirt,4.2,665.0,1499.0,764.0, 49  ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13622628/2021/4/7/c22ca869-eb95-432f-9418-8eb0aa0429fd1617777377972-Roadster-Men-Tshirts-1091617777377269-1.jpg"
Roadster,Men Black Grey Printed Round Neck Pure Cotton T-shirt,4.4,935.0,749.0,217.0,71 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11545438/2020/5/31/3ae6830c-dee0-40b0-b536-0ab8cc8f8c211590946332474TommyHilfigerMenBlueSolidRegularFitChinoShortsShirtsMastHarb1.jpg"
Roadster,Time Travlr Men Olive Green Sleveless Pure Cotton T-shirt with Raw Edges,3.9,10200.0,499.0,159.0,68 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2498517/2018/5/11/d485cf97-7835-446f-b637-a98ac6fe2a291526023388617-Roadster-Men-Olive-Green-Solid-Round-Neck-T-shirt-4761526023388386-1.jpg"
Roadster,Men Solid Drop-Shoulder Sleeves Pure Cotton T-shirt,4.5,6.0,799.0,231.0,71 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24918814/2023/11/23/62ea942d-3f9d-4b85-8ca8-c0e06586c2421700733661117-Roadster-Men-Tshirts-5861700733660713-1.jpg"
Roadster,The Lifestyle Co Men Mustard Pure Cotton Printed Round Neck Pure Cotton T-shirt,4.1,975.0,599.0,239.0, 60  ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13623868/2021/3/15/2a46fcd1-4f12-46b0-8b35-573fa32074e21615803479718-Roadster-Men-Tshirts-9551615803477932-1.jpg"
Roadster,Men Navy Blue All-Over-Printed Round Neck Pure Cotton T-shirt,4.1,4200.0,799.0,255.0,68 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2475651/2018/6/6/b5752600-f887-4e40-b5e9-7f3eee9243c81528284947796-Roadster-Men-Tshirts-1351528284946300-1.jpg"
Roadster,Men Teal Blue Black Printed Round Neck Pure Cotton T-shirt,4.0,1100.0,999.0,399.0,60 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12003924/2020/8/11/e3dfd67f-d6dc-4b3e-8a26-1e3223aa26b51597121054826-Roadster-Men-Tshirts-1801597121053506-1.jpg"
Roadster,Men Purple Pure Cotton Solid Round Neck T-shirt,4.3,417.0,499.0,199.0, 60  ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12504560/2020/12/14/6e7f339a-b248-4bc2-b652-a60eb0b771ca1607936523901-Roadster-Men-Tshirts-3011607936522310-1.jpg"
Roadster,Men Maroon Cream-Coloured Striped Round Neck Pure Cotton T-shirt,4.1,1400.0,799.0,359.0,55 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10920156/2020/1/31/4dab0b1c-1554-4a2d-afde-1e67eb1956241580449115614-Roadster-Men-Tshirts-6241580449114023-1.jpg"
Roadster,Men Rust Orange & Black Printed Round Neck T-shirt,4.2,2300.0,799.0,247.0,69 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12003910/2020/7/31/31fc320f-b80b-4775-ac04-6d50c6ed7f941596191379533-Roadster-Men-Tshirts-5531596191377923-1.jpg"
Roadster,Men White Black Striped Round Neck Pure Cotton T-shirt,4.1,2100.0,599.0,233.0,61 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2215176/2018/2/26/11519638779412-Roadster-Men-White-Striped-Round-Neck-T-shirt-6891519638779179-1.jpg"
Roadster,The Life Co. Striped Polo Collar T-shirt,3.9,234.0,1499.0,779.0, 48  ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23853748/2023/7/11/79339e9c-3bfb-42ee-aa73-3197eeed7d961689057495607-Roadster-Men-Tshirts-6371689057495225-1.jpg"
Roadster,The Lifestyle Co. Men Pure Cotton Solid Long Sleeves T-shirt,4.2,112.0,699.0,279.0, 60  ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21422820/2023/3/7/dd4e5547-b0e3-4922-96d6-dec9eab619ff1678171498376-Roadster-Men-Tshirts-5011678171497837-1.jpg"
Roadster,Men Grey All-Over-Printed Round Neck T-shirt,4.1,1900.0,699.0,216.0,69 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2475652/2018/6/6/3e8a9253-34c9-40a4-8346-fdb67c5b3e981528286566709-Roadster-Men-Tshirts-991528286565167-1.jpg"
