brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
WROGN,Men Olive Green Henley Neck Slim Fit Cotton Pure Cotton T-shirt,"4
|
1.4k Ratings",1.4k Ratings,MRP ₹1699,₹815,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/6833068/2019/4/15/5549cd1a-2312-4d30-92bd-196c47fb5b3b1555322386257-WROGN-Men-Olive-Green-Solid-Henley-Neck-Slim-Fit-T-shirt-228-1.jpg"");"
WROGN,Men Yellow Solid Sleeveless Casual T-shirt,"4.5
|
53 Ratings",53 Ratings,MRP ₹799,₹319,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17064512/2022/5/6/1e6c6690-735c-46f1-8662-88d7114ecc2d1651822517694-WROGN-Men-Tshirts-7891651822517175-1.jpg"");"
WROGN,Men Pure Cotton T-shirt,"3.6
|
5 Ratings",5 Ratings,MRP ₹1199,₹587,(51% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26041406/2023/12/21/0292e601-40bc-4191-b961-3d3fd1eaf1241703160842653-WROGN-Men-Tshirts-7421703160842384-1.jpg"");"
WROGN,Men Black Printed Slim Fit Round Neck T-shirt,"4.2
|
1.1k Ratings",1.1k Ratings,MRP ₹1049,₹440,(58% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2339240/2018/3/13/11520937694422-WROGN-Men-Black-Printed-Round-Neck-T-shirt-7351520937694253-1.jpg"");"
WROGN,Men Blue Printed Slim Fit T-shirt,"3.4
|
27 Ratings",27 Ratings,MRP ₹999,₹399,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17457644/2023/12/12/8c3e5092-3faa-4612-ad9c-a34c9cee9a651702356974550-WROGN-Men-Blue-Printed-Slim-Fit-T-shirt-5521702356974251-1.jpg"");"
WROGN,X Indian Infantry by A47 Printed Drop-Shoulder Sleeves Pure Cotton T-shirt,Nil,Nil,MRP ₹1049,₹608,(42% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25307138/2023/10/16/f1b31549-abc6-4e02-ba69-a47822073c151697438073086-WROGN-Men-Tshirts-5181697438072736-1.jpg"");"
WROGN,Men Pure Cotton Striped Polo Collar Slim Fit T-shirt,"3.8
|
82 Ratings",82 Ratings,MRP ₹1599,₹655,(59% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23364546/2023/5/30/bdca7c02-d83d-4e4e-9e09-1a9bfc341c741685439071154-WROGN-Men-Tshirts-9621685439070731-1.jpg"");"
WROGN,Solid Round Neck T-Shirt,"3.8
|
13 Ratings",13 Ratings,MRP ₹899,₹521,(42% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25537858/2023/11/6/5d538ac9-196c-424b-a48e-f373bd6188441699247857830-WROGN-Men-Tshirts-2731699247857414-1.jpg"");"
WROGN,Graphic Printed Cotton Slim Fit T-shirt,"3.9
|
11 Ratings",11 Ratings,MRP ₹1299,₹545,(58% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23430004/2023/5/26/c61e8e8a-5546-48d4-b1b2-54c1f127453d1685111973487WROGNMenNavyBluePrintedAppliqueSlimFitT-shirt1.jpg"");"
WROGN,Men Red Solid Round Neck T-shirt with Printed Detailing,"4.3
|
989 Ratings",989 Ratings,Rs. 899,Rs. 899,Nil,"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11363848/2020/1/31/c81d7cb8-694e-42b9-92e3-a3eb5d9817871580451564012-WROGN-Men-Tshirts-2821580451562576-5.jpg"");"
WROGN,Slim Fit Casual Cotton T-shirt,"3.9
|
11 Ratings",11 Ratings,MRP ₹1399,₹573,(59% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23429930/2023/5/26/aefb3ce6-d35f-4fca-a7b1-1a73f481a60b1685111900631WROGNMenMaroonPocketsSlimFitT-shirt1.jpg"");"
WROGN,Printed Pure Cotton Slim Fit T-shirt,"4.3
|
23 Ratings",23 Ratings,MRP ₹1199,₹575,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23770366/2023/7/18/e9bf2fae-d114-4403-b466-be4736d63e7c1689659567439-WROGN-Men-Tshirts-7781689659567009-1.jpg"");"
WROGN,Men Pure Cotton T-shirt,Nil,Nil,MRP ₹1399,₹685,(51% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25826578/2023/12/21/d164a258-1fad-4fea-85e1-a85543e411ed1703160857027-WROGN-Men-Shirts-9761703160856695-1.jpg"");"
WROGN,Men Pure Cotton Typography Printed Slim Fit T-shirt,"3.9
|
37 Ratings",37 Ratings,MRP ₹999,₹449,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23364570/2023/11/9/dbb81542-42da-4660-96f4-7c9e652938261699501871690-WROGN-Men-Pure-Cotton-Typography-Printed-Slim-Fit-T-shirt-11-1.jpg"");"
WROGN,Polo Collar Cotton Slim Fit T-shirt,"4
|
23 Ratings",23 Ratings,MRP ₹1799,₹755,(58% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23430026/2023/5/26/5ad2d891-60a7-43c5-af63-ced3082634b11685119974876WROGNMenMaroonPoloCollarAppliqueSlimFitT-shirt1.jpg"");"
